X;Y;street;category
11.3250908;50.9819163;Geleitstraße;unfall
11.3293527;50.9821876;Graben;unfall
11.3170011;50.9775488;Trierer Straße;diebstahl
11.3200495;50.9802959;Trierer Straße;diebstahl
11.3209061;50.9907491;Fuldaer Straße;körperverletzung
11.3633439;51.0029203;Dorfstraße;diebstahl
11.3250908;50.9819163;Goetheplatz;diebstahl
11.3264535;50.9789080;Goetheplatz;diebstahl
11.328813;50.98491;Goetheplatz;diebstahl
11.3200495;50.9802959;Erfurter Straße;unfall
11.3276438;50.9787017;Schillerstraße;diebstahl
11.3291889;50.9808226;Herderplatz;diebstahl
11.329757;50.981215;Herderplatz;diebstahl
11.3256840;50.9828292;Karl-Liebknecht-Straße;diebstahl
11.3222558;50.9881586;Röhrstraße;diebstahl
11.3319659;50.9852060;Am Kirschberg;vandalismus
11.3263522;50.9774667;Schützengasse;körperverletzung
11.3319390;50.9825396;Gerberstraße;unfall
11.328813;50.98491;atrium;diebstahl
11.3314923;50.9935301;Buttelstedter Straße;vandalismus
11.3293527;50.9821876;Graben;unfall
11.3222558;50.9881586;Röhrstraße;diebstahl
11.3047434;50.9867472;Berliner Straße;unfall
11.3263522;50.9774667;Schützengasse;drogenmissbrauch
11.3253163;50.9801630;Schützengasse;drogenmissbrauch
11.32568;50.979871;Schützengasse;drogenmissbrauch
11.3265161;50.9808807;Geleitstraße;diebstahl
11.3170011;50.9775488;Trierer Straße;unfall
11.3217698;50.9780370;Trierer Straße;unfall
11.328813;50.98491;atrium;unfall
11.3143136;50.9840682;Schwanseestraße;diebstahl
11.3250908;50.9819163;Schwanseestraße;diebstahl
11.3282446;50.9779466;Frauenplan;vandalismus
11.3293593;50.9786846;Frauenplan;vandalismus
11.3314923;50.9935301;Buttelstedter Straße;vandalismus
11.3109907;50.9891265;Moskauer Straße;unfall
11.3267527;50.9766071;Humboldtstraße;diebstahl
11.3633439;51.0029203;Dorfstraße;diebstahl
11.3655032;50.9931983;Hauptstraße;unfall
11.3309800;50.9873610;Friesstraße;unfall
11.3200495;50.9802959;Erfurter Straße;unfall
11.3058685;50.9856682;Budapester Straße;drogenmissbrauch
11.3200348;50.9937295;Ettersburger Straße;diebstahl
11.3655032;50.9931983;Hauptstraße;diebstahl
11.3143136;50.9840682;Schwanseestraße;unfall
11.3298646;50.9820114;Jakobstraße;unfall
11.3250908;50.9819163;Goetheplatz;vandalismus
11.3286730;50.9850982;Friedensstraße;unfall
11.3261025;50.9872822;Carl-August-Allee;unfall
11.2711980;50.9548996;Bahnhof;vandalismus
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3264535;50.9789080;Hummelstraße;diebstahl
11.3293527;50.9821876;Graben;unfall
11.3263522;50.9774667;Schützengasse;vandalismus
11.3200495;50.9802959;Erfurter Straße;drogenmissbrauch
11.3222558;50.9881586;Röhrstraße;vandalismus
11.3278046;50.9882792;Röhrstraße;vandalismus
11.3314923;50.9935301;Buttelstedter Straße;diebstahl
11.3276256;50.9736054;Rudolf-Breitscheid-Straße;körperverletzung
11.3327027;50.9873168;Eduard-Rosenthal-Straße;diebstahl
11.3298646;50.9820114;Jakobstraße;vandalismus
11.3200495;50.9802959;Erfurter Straße;waffengesetz
11.3293527;50.9821876;Graben;unfall
11.3293527;50.9821876;Graben;unfall
11.328813;50.98491;atrium;diebstahl
11.328813;50.98491;atrium;diebstahl
11.3275266;50.9799598;Am Palais;vandalismus
11.3293593;50.9786846;Frauentorstraße;diebstahl
11.3633439;51.0029203;Dorfstraße;diebstahl
11.3263522;50.9774667;Schützengasse;diebstahl
11.328813;50.98491;atrium;unfall
11.3210123;50.9786948;Steubenstraße;belästigung
11.328813;50.98491;atrium;diebstahl
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3294361;50.9750165;Marienstraße;unfall
11.3276438;50.9787017;Schillerstraße;vandalismus
11.3170011;50.9775488;Trierer Straße;körperverletzung
11.3265161;50.9808807;Geleitstraße;diebstahl
11.3270531;50.9828442;Geleitstraße;diebstahl
11.3263522;50.9774667;Geleitstraße;diebstahl
11.3276438;50.9787017;Geleitstraße;diebstahl
11.3250908;50.9819163;Geleitstraße;diebstahl
11.3264535;50.9789080;Geleitstraße;diebstahl
11.3418614;50.9711596;Dichterweg;diebstahl
11.3109907;50.9891265;Moskauer Straße;unfall
11.3276438;50.9787017;Schillerstraße;diebstahl
11.3166160;50.9605911;Berkaer Straße;diebstahl
11.3200495;50.9802959;Erfurter Straße;diebstahl
11.3264535;50.9789080;Hummelstraße;diebstahl
11.3159755;50.9941755;Marcel-Paul-Straße;körperverletzung
11.3143136;50.9840682;Schwanseestraße;einbruch
11.3210123;50.9786948;Steubenstraße;diebstahl
11.3633439;51.0029203;Dorfstraße;unfall
11.3159755;50.9941755;Marcel-Paul-Straße;unfall
11.3327027;50.9873168;Eduard-Rosenthal-Straße;unfall
11.328813;50.98491;atrium;körperverletzung
11.3109907;50.9891265;Moskauer Straße;diebstahl
11.3263608;50.9914438;Moskauer Straße;diebstahl
11.3286730;50.9850982;Friedensstraße;unfall
11.3261025;50.9872822;Friedensstraße;unfall
11.328813;50.98491;Friedensstraße;unfall
11.3200495;50.9802959;Erfurter Straße;diebstahl
11.3293527;50.9821876;Graben;unfall
11.3200495;50.9802959;Erfurter Straße;vandalismus
11.3166160;50.9605911;Berkaer Straße;unfall
11.3200348;50.9937295;Ettersburger Straße;unfall
11.3143136;50.9840682;Schwanseestraße;unfall
11.3250908;50.9819163;Schwanseestraße;unfall
11.3293527;50.9821876;Graben;diebstahl
11.3293527;50.9821876;Graben;vandalismus
11.3109907;50.9891265;Moskauer Straße;einbruch
11.3442420;50.9717588;Bodelschwinghstraße;unfall
11.3256840;50.9828292;Karl-Liebknecht-Straße;unfall
11.3293527;50.9821876;Graben;unfall
11.3310009;50.9807044;Schloßgasse;einbruch
11.3267527;50.9766071;Humboldtstraße;diebstahl
11.3210123;50.9786948;Steubenstraße;unfall
11.3267527;50.9766071;Steubenstraße;unfall
11.3282446;50.9779466;Frauenplan;unfall
11.3306805;50.9771531;Frauenplan;unfall
11.3293593;50.9786846;Frauenplan;unfall
11.328813;50.98491;atrium;diebstahl
11.3109907;50.9891265;Moskauer Straße;diebstahl
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3200348;50.9937295;Ettersburger Straße;unfall
11.3210123;50.9786948;Steubenstraße;vandalismus
11.3276438;50.9787017;Schillerstraße;vandalismus
11.3210123;50.9786948;Steubenstraße;diebstahl
11.3263522;50.9774667;Steubenstraße;diebstahl
11.3309800;50.9873610;Friesstraße;unfall
11.3200495;50.9802959;Erfurter Straße;unfall
11.3267527;50.9766071;Humboldtstraße;diebstahl
11.3109907;50.9891265;Moskauer Straße;diebstahl
11.3168770;50.9743476;Gutenbergstraße;unfall
11.3293527;50.9821876;Gutenbergstraße;unfall
11.3109907;50.9891265;Moskauer Straße;unfall
11.3309800;50.9873610;Friesstraße;diebstahl
11.3263522;50.9774667;Schützengasse;körperverletzung
11.3253163;50.9801630;Schützengasse;körperverletzung
11.32568;50.979871;Schützengasse;körperverletzung
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3418614;50.9711596;Dichterweg;diebstahl
11.2711980;50.9548996;Bahnhof;diebstahl
11.3267527;50.9766071;Humboldtstraße;unfall
11.3170011;50.9775488;Humboldtstraße;unfall
